model,accuracy,precision,recall,f1_score
VGG16,0.8431372549019608,0.8108108108108109,0.967741935483871,0.8823529411764706
Random Forest,0.8235294117647058,0.775,1.0,0.8732394366197183
ResNet50,0.6862745098039216,0.6595744680851063,1.0,0.7948717948717948
Custom CNN,0.6666666666666666,0.7333333333333333,0.7096774193548387,0.7213114754098361
MobileNetV2,0.4117647058823529,1.0,0.03225806451612903,0.0625
